product_id,product_name,category,brand,unit,price,supplier_id
1,Вода 1.5л Брэнд2 100г,Напитки,Брэнд2,л,389.99,9
2,Чипсы 80г Брэнд2 0.5л,Снеки,Брэнд2,шт,898.02,3
3,Кефир 1л Брэнд2 200г,Молочные,Брэнд2,кг,772.87,2
4,Хлеб белый Локальный 0.5л,Хлеб,Локальный,уп,354.05,38
5,Треска филе Брэнд1,Рыба,Брэнд1,кг,1056.26,22
6,Треска филе Брэнд3 200г,Рыба,Брэнд3,л,180.25,25
7,Масло сливочное 180г Эконом,Молочные,Эконом,л,917.48,3
8,Вино красное 0.75л Фермер 1л,Напитки,Фермер,шт,1460.48,25
9,Йогурт 150г Импорт 500г,Молочные,Импорт,л,878.71,46
10,Сыр Российский 1кг Брэнд1 0.5л,Молочные,Брэнд1,кг,1166.41,6
11,Средство для посуды 500мл Локальный,Бытовая химия,Локальный,шт,588.79,30
12,Вода 1.5л Эконом 200г,Напитки,Эконом,л,552.25,43
13,Треска филе Брэнд2 1л,Рыба,Брэнд2,кг,815.19,16
14,Фарш домашний Фермер 1кг,Мясо,Фермер,л,1484.6,41
15,Кофе молотый 250г Импорт 200г,Напитки,Импорт,л,1268.99,50
16,Сметана 300г Локальный,Молочные,Локальный,шт,1213.42,26
17,Треска филе Брэнд2 200г,Рыба,Брэнд2,л,342.56,32
18,Апельсины Фермер 200г,Овощи-фрукты,Фермер,л,235.26,48
19,Хлеб белый Импорт 500г,Хлеб,Импорт,уп,1349.8,26
20,Яблоки Локальный 200г,Овощи-фрукты,Локальный,уп,163.64,4
21,Мыло 90г Брэнд2 200г,Бытовая химия,Брэнд2,кг,1194.36,28
22,Лаваш Брэнд2 1кг,Хлеб,Брэнд2,уп,905.96,30
23,Макароны 450г Премиум 1л,Бакалея,Премиум,шт,1030.02,8
24,Чай чёрный 100г Импорт,Напитки,Импорт,л,1159.84,22
25,Курица тушка Премиум 1кг,Мясо,Премиум,кг,696.97,47
26,Шампунь 400мл Премиум 1л,Бытовая химия,Премиум,кг,776.29,7
27,Мыло 90г Премиум,Бытовая химия,Премиум,кг,254.67,49
28,Фарш домашний Импорт,Мясо,Импорт,шт,910.45,32
29,Кефир 1л Брэнд2 500г,Молочные,Брэнд2,л,381.99,16
30,Шампунь 400мл Своё 100г,Бытовая химия,Своё,шт,1105.9,5
31,Сухарики 40г Импорт,Снеки,Импорт,кг,218.74,31
32,Пицца зам. 400г Импорт 200г,Заморозка,Импорт,л,805.68,39
33,Свёкла Локальный 1л,Овощи-фрукты,Локальный,кг,1078.03,26
34,Кола 1.5л Эконом 1кг,Напитки,Эконом,уп,207.88,15
35,Сыр Российский 1кг Эконом 100г,Молочные,Эконом,кг,895.01,1
36,Сыр Российский 1кг Брэнд1 200г,Молочные,Брэнд1,шт,1360.97,22
37,Сыр Российский 1кг Импорт 200г,Молочные,Импорт,л,1013.4,14
38,Масло растительное 1л Брэнд3 0.5л,Бакалея,Брэнд3,уп,387.21,31
39,Конфеты 250г Эко 200г,Снеки,Эко,шт,172.49,28
40,Огурцы Эко 1кг,Овощи-фрукты,Эко,уп,1299.84,4
41,Чай чёрный 100г Брэнд2 100г,Напитки,Брэнд2,уп,1100.47,7
42,Лосось охл. Локальный 200г,Рыба,Локальный,уп,236.07,12
43,Треска филе Фермер 200г,Рыба,Фермер,шт,681.4,36
44,Масло сливочное 180г Брэнд1 0.5л,Молочные,Брэнд1,шт,1454.42,49
45,Средство для посуды 500мл Локальный 200г,Бытовая химия,Локальный,уп,743.89,14
46,Мыло 90г Эко 100г,Бытовая химия,Эко,кг,587.09,25
47,Скумбрия х/к Фермер 500г,Рыба,Фермер,уп,1053.99,47
48,Печенье 200г Импорт 0.5л,Снеки,Импорт,уп,257.55,19
49,Сельдь с/с Брэнд1 1л,Рыба,Брэнд1,шт,1129.52,4
50,Сметана 300г Своё 1кг,Молочные,Своё,кг,113.61,33
51,Йогурт 150г Брэнд3 100г,Молочные,Брэнд3,шт,1022.56,16
52,Апельсины Брэнд2 1л,Овощи-фрукты,Брэнд2,кг,881.01,3
53,Булочка сдобная Брэнд2 1кг,Хлеб,Брэнд2,л,1404.02,14
54,Кола 1.5л Эконом 200г,Напитки,Эконом,л,611.81,43
55,Сок яблочный 1л Премиум 1кг,Напитки,Премиум,л,1395.66,5
56,Молоко 1л Фермер 1л,Молочные,Фермер,шт,137.69,14
57,Гречка 900г Премиум 200г,Бакалея,Премиум,л,1324.87,16
58,Яблоки Премиум 200г,Овощи-фрукты,Премиум,уп,1255.61,46
59,Морковь Своё,Овощи-фрукты,Своё,шт,1011.76,36
60,Морковь Брэнд2 200г,Овощи-фрукты,Брэнд2,л,199.68,7
61,Чипсы 80г Импорт 200г,Снеки,Импорт,л,444.18,14
62,Пиво 0.5л Эконом 200г,Напитки,Эконом,л,772.95,17
63,Паста зубная 100мл Брэнд1 100г,Бытовая химия,Брэнд1,уп,1249.14,3
64,Молоко 1л Эконом,Молочные,Эконом,кг,966.56,17
65,Фарш домашний Фермер 1л,Мясо,Фермер,уп,854.53,8
66,Сыр Российский 1кг Брэнд3 1л,Молочные,Брэнд3,шт,1256.85,38
67,Хлеб белый Брэнд3 1кг,Хлеб,Брэнд3,кг,91.49,24
68,Паста зубная 100мл Брэнд1 500г,Бытовая химия,Брэнд1,кг,1032.64,43
69,Масло сливочное 180г Эконом,Молочные,Эконом,уп,1461.54,48
70,Говядина лопатка Локальный,Мясо,Локальный,кг,1465.02,12
71,Шампунь 400мл Эко 100г,Бытовая химия,Эко,кг,1112.75,22
72,Печенье 200г Эко,Снеки,Эко,кг,422.2,45
73,Масло сливочное 180г Эко,Молочные,Эко,шт,1292.13,15
74,Сосиски молочные Фермер 500г,Мясо,Фермер,л,1236.19,15
75,Минтай с/м Брэнд1 0.5л,Рыба,Брэнд1,кг,615.74,18
76,Мыло 90г Брэнд2,Бытовая химия,Брэнд2,л,546.18,33
77,Апельсины Импорт 500г,Овощи-фрукты,Импорт,шт,199.55,17
78,Колбаса варёная Своё 500г,Мясо,Своё,шт,189.35,28
79,Огурцы Эконом 1кг,Овощи-фрукты,Эконом,шт,596.24,37
80,Сосиски молочные Премиум 100г,Мясо,Премиум,уп,32.49,35
81,Чай чёрный 100г Локальный 500г,Напитки,Локальный,уп,132.86,43
82,Пельмени 800г Эконом 1л,Заморозка,Эконом,л,1005.18,8
83,Вино красное 0.75л Премиум 1л,Напитки,Премиум,л,1010.33,21
84,Апельсины Премиум 1л,Овощи-фрукты,Премиум,кг,312.0,43
