sale_id,sale_datetime,customer_id,product_id,quantity,unit_price,total_amount,payment_type,store_id
1,2024-10-28 16:32:00,1676,6869,1,424.36,424.36,наличные,1
2,2024-01-15 11:37:00,19185,17424,1,864.1,864.1,наличные,3
3,2024-11-19 21:59:00,20765,16561,5,1432.93,7164.65,онлайн,1
4,2024-08-21 21:32:00,20774,3131,5,1284.65,6423.25,наличные,10
5,2024-02-11 09:38:00,18236,8837,3,1298.61,3895.83,карта,5
6,2024-08-02 16:09:00,11932,9447,1,542.37,542.37,онлайн,10
7,2024-04-26 12:07:00,6813,16584,2,1466.86,2933.72,карта,8
8,2024-02-05 09:54:00,14691,3220,5,610.07,3050.35,наличные,10
9,2024-02-05 19:58:00,24495,8178,3,254.79,764.37,онлайн,8
10,2024-06-28 20:48:00,16802,20070,1,270.86,270.86,карта,2
11,2024-12-10 16:27:00,20640,12524,5,1101.42,5507.1,онлайн,3
12,2024-10-09 19:11:00,968,15058,4,1202.26,4809.04,онлайн,9
13,2024-09-12 16:40:00,23030,24209,5,1255.07,6275.35,наличные,4
14,2024-10-19 17:27:00,5168,1594,3,1329.38,3988.14,карта,9
15,2024-11-08 14:44:00,4453,1903,2,1119.7,2239.4,онлайн,7
16,2024-03-26 21:49:00,19224,8663,5,758.62,3793.1,карта,4
17,2024-11-03 18:58:00,20209,23455,1,1151.26,1151.26,наличные,6
18,2024-03-12 09:07:00,14693,3520,1,73.64,73.64,онлайн,9
19,2024-02-07 13:41:00,21478,5050,4,398.35,1593.4,карта,5
20,2024-02-14 10:27:00,16415,23197,3,355.59,1066.77,наличные,8
21,2024-09-27 15:56:00,23146,15666,2,135.03,270.06,наличные,3
22,2024-04-28 10:01:00,5746,17806,1,218.56,218.56,онлайн,5
23,2024-07-16 14:39:00,24762,1413,4,1405.19,5620.76,наличные,6
24,2024-01-02 10:35:00,5927,16927,4,364.87,1459.48,онлайн,9
25,2024-02-24 12:18:00,11197,8573,2,190.77,381.54,наличные,10
26,2024-09-23 09:24:00,24257,14765,5,1378.12,6890.6,онлайн,6
27,2024-10-09 16:54:00,10275,20404,1,1285.12,1285.12,карта,8
28,2024-07-09 20:42:00,7215,6868,2,951.11,1902.22,карта,5
29,2024-12-05 10:53:00,12524,23359,4,649.29,2597.16,карта,1
30,2024-10-06 11:11:00,22277,15156,4,495.71,1982.84,карта,3
31,2024-09-11 20:05:00,19529,17536,5,1304.57,6522.85,наличные,7
32,2024-10-09 12:42:00,19157,23474,2,1492.04,2984.08,наличные,10
33,2024-01-02 09:26:00,14766,1933,1,981.92,981.92,карта,1
34,2024-04-24 16:27:00,23799,1071,2,923.66,1847.32,карта,7
35,2024-07-11 10:08:00,4530,14656,3,836.49,2509.47,карта,7
36,2024-05-12 19:16:00,6795,14401,3,1336.98,4010.94,онлайн,9
37,2024-05-31 13:57:00,4331,20660,5,833.86,4169.3,карта,6
38,2024-08-06 12:30:00,16672,16421,5,546.86,2734.3,наличные,5
39,2024-03-10 16:43:00,23689,2991,3,1147.38,3442.14,наличные,1
40,2024-11-10 21:05:00,23581,10491,4,1438.85,5755.4,карта,10
41,2024-08-28 19:13:00,17296,4230,5,757.55,3787.75,карта,7
42,2024-12-19 17:55:00,24419,4692,3,420.99,1262.97,карта,2
43,2024-02-26 08:02:00,23543,740,4,359.75,1439.0,наличные,9
44,2024-10-28 18:02:00,14086,13758,3,562.21,1686.63,карта,6
45,2024-11-26 15:17:00,15105,24269,5,1244.37,6221.85,карта,6
46,2024-04-12 16:18:00,7479,20692,2,494.53,989.06,карта,10
47,2024-06-13 12:58:00,15969,5074,4,802.28,3209.12,карта,2
48,2024-07-30 18:54:00,11010,1681,1,529.54,529.54,онлайн,5
49,2024-07-26 09:18:00,9086,10411,1,68.78,68.78,онлайн,8
50,2024-12-18 17:20:00,4668,7848,3,454.74,1364.22,наличные,8
51,2024-06-25 14:43:00,24088,5501,2,622.36,1244.72,карта,8
